Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/batch?,113,0,19,20.950059035398183,12.30846200000002,62.759847999999785,49.0,1.9022221855477826,0.0,19,22,23,24,28,32,39,41,63,63,63
PUT,/create,122,0,39,44.1338311065574,26.3243809999949,168.10705299999995,49.0,2.0537266074055704,0.0,39,44,47,52,59,71,83,94,170,170,170
POST,/match?,105,0,11,11.667757447619039,7.470552000000907,33.16268900000097,157.0,1.76755158834086,0.0,11,12,12,14,15,16,18,21,33,33,33
GET,/movies,93,0,6,6.174068021505384,3.8995510000034983,11.875873000001036,72.0,1.565545692530476,0.0,6,7,7,7,8,8,9,12,12,12,12
PUT,/upload?,112,0,11,11.547824026785793,7.097598000001426,32.03335799999962,49.0,1.8853883608969173,0.0,11,12,12,13,15,17,17,18,32,32,32
,Aggregated,545,0,14,19.8978774587156,3.8995510000034983,168.10705299999995,73.73211009174312,9.174434434721606,0.0,14,19,27,33,41,50,64,76,170,170,170
